Transistor count,Date of introduction
2300,1971
3500,1972
4100,1974
4500,1974
5000,1974
3510,1975
6500,1976
8500,1976
9000,1978
29000,1978
29000,1979
68000,1979
55000,1982
134000,1982
22000,1983
200000,1984
275000,1985
25000,1985
16000,1985
25000,1986
250000,1988
1180235,1989
300000,1989
1350000,1991
30000,1991
3100000,1993
578977,1994
5500000,1995
4300000,1996
7500000,1997
8800000,1997
7500000,1998
9500000,1999
21300000,1999
22000000,1999
21000000,2000
42000000,2000
45000000,2001
55000000,2002
220000000,2002
54300000,2003
105900000,2003
410000000,2003
112000000,2004
592000000,2004
169000000,2005
184000000,2006
241000000,2006
291000000,2006
1700000000,2006
169000000,2007
463000000,2007
411000000,2007
789000000,2007
47000000,2008
758000000,2008
230000000,2008
731000000,2008
1900000000,2008
904000000,2009
1000000000,2010
1170000000,2010
1200000000,2010
1400000000,2010
2000000000,2010
2300000000,2010
1160000000,2011
2600000000,2011
1200000000,2012
1303000000,2012
1400000000,2012
2100000000,2012
2750000000,2012
3100000000,2012
5000000000,2012
5000000000,2013
4310000000,2014
